"Sample.Name","n_qpcrs","CT.sd","CT","Quantity.sd","Quantity","Target.Name","Task","Date","Coho.M","Coho.F","Coho.Jack","Coho.Juv","Sum","sum.adult","sum.2"
"31A",3,0.531511086313125,34.9922892252604,0.000136701068274982,0.00038902608018058,"Coho","UNKNOWN",2016-07-23,0,0,0,0,0,0,0
"32A",3,0.406020030696482,36.2388305664062,4.12237066250051e-05,0.000177196702376629,"Coho","UNKNOWN",2016-07-24,0,0,0,0,0,0,0
"33A",3,0.0648029470783071,35.0094451904297,1.49830072783733e-05,0.000370901233206193,"Coho","UNKNOWN",2016-07-25,0,0,0,0,0,0,0
"52A",3,0.464607878973434,36.254461924235,4.66077008266673e-05,0.000176557368831709,"Coho","UNKNOWN",2016-08-13,0,0,0,0,0,0,0
"53A",3,0.329660236522413,35.5640856424967,5.69552801032837e-05,0.00026710410505378,"Coho","UNKNOWN",2016-08-14,0,0,0,0,0,0,0
"54A",3,0.38629556813244,34.461986541748,0.00012674300673282,0.000529509357875213,"Coho","UNKNOWN",2016-08-15,0,0,0,0,0,0,0
"55A",3,0.342830945985747,35.9871584574381,4.5278407639016e-05,0.000205989980410474,"Coho","UNKNOWN",2016-08-16,0,0,0,0,0,0,0
"56A",3,0.642358652729306,36.3528963724772,6.08939766083934e-05,0.000170031024026684,"Coho","UNKNOWN",2016-08-17,1,0,0,0,1,1,1
"57A",3,0.125843258860374,35.090825398763,2.69930341169264e-05,0.000353260499347622,"Coho","UNKNOWN",2016-08-18,0,0,0,1,1,0,0
"58A",3,0.168064514483402,35.1082127888997,3.52989323943338e-05,0.000350028257040928,"Coho","UNKNOWN",2016-08-19,1,1,0,0,2,2,2
"59A",3,0.496550451041773,34.5166765848796,0.000148828164662995,0.00051761805661954,"Coho","UNKNOWN",2016-08-20,0,0,0,0,0,0,0
"60A",3,0.242910021741125,34.100217183431,9.42421875665023e-05,0.000654151488561183,"Coho","UNKNOWN",2016-08-21,0,0,0,0,0,0,0
"61A",3,0.730382297593669,33.9446512858073,0.000353141684531901,0.000765721012915795,"Coho","UNKNOWN",2016-08-22,2,0,1,2,5,2,3
"62A",3,0.269313260915215,32.2497285207113,0.000348585074310772,0.00209998498515536,"Coho","UNKNOWN",2016-08-23,0,0,1,1,2,0,1
"63A",3,0.0869818315910753,33.9335289001465,3.96567933689853e-05,0.000732021251072486,"Coho","UNKNOWN",2016-08-24,0,0,3,1,4,0,3
"64A",3,0.532951466059294,34.4377415974935,0.000178502793841758,0.000554234517039731,"Coho","UNKNOWN",2016-08-25,0,1,4,0,5,1,5
"65A",3,0.35959432621633,33.9176305135091,0.000176477259377691,0.000751392275560647,"Coho","UNKNOWN",2016-08-26,0,0,0,1,1,0,0
"66A",3,0.0874012565411979,33.713981628418,4.48080297285605e-05,0.000838938110973686,"Coho","UNKNOWN",2016-08-27,1,0,2,4,7,1,3
"67A",3,0.398631758545535,34.8516426086426,0.000110038731135912,0.000422376693071177,"Coho","UNKNOWN",2016-08-28,2,0,4,1,7,2,6
"68A",3,0.40651088200782,34.158748626709,0.000174018824518722,0.00065009961447989,"Coho","UNKNOWN",2016-08-29,2,0,3,0,5,2,5
"69A",3,0.0270207106944859,33.0087229410807,2.18876708852832e-05,0.00129880201226721,"Coho","UNKNOWN",2016-08-30,0,0,5,0,5,0,5
"70A",3,0.0932548332491575,31.2740300496419,0.000218087773617242,0.00381763985690971,"Coho","UNKNOWN",2016-08-31,3,1,12,3,19,4,16
"71A",3,0.239248446589685,31.5131200154622,0.000474882505249816,0.00331099377945065,"Coho","UNKNOWN",2016-09-01,0,3,13,2,18,3,16
"72A",3,0.139030960204521,30.8164552052816,0.000441804143269948,0.00507922020430366,"Coho","UNKNOWN",2016-09-02,0,1,8,5,14,1,9
"73A",3,0.14455573912061,30.2720006306966,0.00064315060325403,0.0071238048064212,"Coho","UNKNOWN",2016-09-03,0,0,7,2,9,0,7
