SampleID,Date,Plate_ID,SampleNumber,SampleReplicate,updownstream,CT_mean,CT_sd,Qty_ng_per_ul_mean,Qty_ng_per_ul_sd,n_qpcrs,Smolts,Sockeye_Male,Sockeye_Female,Sockeye_Jack,SockeyeTotalCount,Water_Date,Gage_Height,Depth_inches,Q_cfs,Avg_Temp,Q_corr_qpcr.rm,G_corr_qpcr.rm
1B,2016-06-17,Auk1,1,B,upstream,39.57903798,1.870979654,1.95E-05,1.98E-05,3,6,0,0,0,6,2016-06-17,21.6,15.24,12.16105963,17.19641667,2.00E-06,1.84E-05
2B,2016-06-20,Auk11,2,B,upstream,38.65010452,0.291405767,2.58E-05,9.62E-06,4,NA,0,0,0,0,2016-06-20,21.37,12.48,6.990044118,16.11016667,1.53E-06,2.42E-05
3B,2016-06-21,Auk2,3,B,upstream,41.36395772,3.092503441,5.11E-06,4.32E-06,3,NA,0,0,0,0,2016-06-21,21.32,11.88,6.146414374,15.89616667,2.66E-07,4.77E-06
4B,2016-06-22,Auk2,4,B,upstream,39.97764587,1.177289269,1.26E-05,2.22E-06,3,NA,0,0,0,0,2016-06-22,21.27,11.28,5.386966493,16.15191667,5.75E-07,1.17E-05
5B,2016-06-27,Auk11,5,B,upstream,38.99952393,1.176508297,2.17E-05,2.57E-05,5,NA,0,0,0,0,2016-06-27,21.46,13.56,8.743059069,16.49633333,1.60E-06,2.03E-05
6B,2016-06-28,Auk2,6,B,upstream,39.30059433,1.117855805,1.63E-05,4.70E-07,2,NA,0,0,0,0,2016-06-28,21.4,12.84,7.539493732,17.12145833,1.04E-06,1.52E-05
8B,2016-06-30,Auk11,8,B,upstream,38.0272995,0.860057555,3.31E-05,1.91E-05,5,NA,0,0,0,0,2016-06-30,21.39,12.72,7.352605126,18.07304167,2.06E-06,3.10E-05
9B,2016-07-01,Auk2,9,B,upstream,34.79269918,0.370076669,2.18E-04,5.77E-05,3,NA,22,13,0,35,2016-07-01,21.58,15,11.61577745,17.877125,2.14E-05,0.000206164
10B,2016-07-02,Auk2,10,B,upstream,26.8761692,0.103510676,5.37E-02,3.94E-03,3,NA,119,60,0,179,2016-07-02,21.64,15.72,13.31364755,17.34070833,0.006048772,0.050880271
11B,2016-07-03,Auk2,11,B,upstream,30.56434186,0.025340364,4.09E-03,7.21E-05,3,NA,36,37,2,75,2016-07-03,21.6,15.24,12.16105963,17.6235,0.000420165,0.003862105
12B,2016-07-04,Auk2,12,B,upstream,31.13161977,0.241857537,2.77E-03,4.47E-04,3,NA,33,32,0,65,2016-07-04,21.52,14.28,10.09717748,17.70745833,0.000236928,0.002613252
13B,2016-07-05,Auk2,13,B,upstream,32.71981049,0.190167947,9.13E-04,1.25E-04,3,NA,3,1,0,4,2016-07-05,21.46,13.56,8.743059069,17.87645833,6.75E-05,0.000857148
14B,2016-07-06,Auk2,14,B,upstream,33.03115972,0.274970924,7.39E-04,1.45E-04,3,NA,0,0,0,0,2016-07-06,21.38,12.6,7.169474524,17.652625,4.48E-05,0.000691584
15B,2016-07-07,Auk3,15,B,upstream,27.95276324,0.092806577,6.76E-02,4.07E-03,3,NA,81,81,4,166,2016-07-07,21.37,12.48,6.990044118,17.71766667,0.003993542,0.063183676
16B,2016-07-08,Auk3,16,B,upstream,32.3702329,0.116020645,4.00E-03,2.96E-04,3,NA,14,4,0,18,2016-07-08,21.27,11.28,5.386966493,18.29645833,0.000182383,0.003726743
17B,2016-07-09,Auk3,17,B,upstream,34.00090535,0.049966293,1.41E-03,4.48E-05,3,NA,0,0,0,0,2016-07-09,21.2,10.44,4.452755927,18.333,5.30E-05,0.001306536
18B,2016-07-10,Auk3,18,B,upstream,36.104894,0.61305475,3.85E-04,1.42E-04,3,NA,0,0,0,0,2016-07-10,21.16,9.96,3.980736392,18.28058333,1.30E-05,0.000356389
19B,2016-07-11,Auk3,19,B,upstream,34.67770259,0.052133176,9.13E-04,3.06E-05,3,NA,0,0,0,0,2016-07-11,21.14,9.72,3.760372907,18.01916667,2.90E-05,0.000844963
20B,2016-07-12,Auk3,20,B,upstream,37.8219045,0.157833235,1.23E-04,1.20E-05,3,NA,0,0,0,0,2016-07-12,21.08,9,3.157637172,18.23958333,3.27E-06,0.000113027
21B,2016-07-13,Auk3,21,B,upstream,39.53488159,0.394481238,4.17E-05,9.97E-06,3,NA,0,0,0,0,2016-07-13,21.05,8.64,2.887009846,18.23041667,1.02E-06,3.84E-05
22B,2016-07-14,Auk3,22,B,upstream,40.22137451,0.905045531,2.94E-05,1.67E-05,3,NA,0,0,0,0,2016-07-14,21.01,8.16,2.555614658,17.71495833,6.35E-07,2.70E-05
23B,2016-07-15,Auk11,23,B,upstream,37.56445465,0.785496148,7.23E-05,1.47E-05,5,NA,0,0,0,0,2016-07-15,20.97,7.68,2.255633319,17.37104167,1.38E-06,6.63E-05
24B,2016-07-16,Auk11,24,B,upstream,38.40689468,1.026227848,4.69E-05,5.15E-06,4,NA,0,0,0,0,2016-07-16,20.95,7.44,2.116693017,17.166625,8.39E-07,4.30E-05
25B,2016-07-17,Auk3,25,B,upstream,39.17972056,0.904770288,5.75E-05,3.48E-05,3,NA,0,0,0,0,2016-07-17,20.9,6.84,1.799344709,17.33595833,8.75E-07,5.26E-05
26B,2016-07-18,Auk11,26,B,upstream,38.15451813,NA,3.05E-05,NA,1,NA,0,0,0,0,2016-07-18,20.87,6.48,1.628184536,17.63804167,4.19E-07,2.78E-05
27B,2016-07-19,Auk11,27,B,upstream,40.10391108,1.054913592,1.30E-05,1.64E-06,3,NA,0,0,0,0,2016-07-19,20.87,6.48,1.628184536,18.11729167,1.79E-07,1.19E-05
28B,2016-07-20,Auk11,28,B,upstream,40.05695597,0.955191433,1.45E-05,6.62E-06,3,NA,0,0,0,0,2016-07-20,20.86,6.36,1.574148065,17.75758333,1.93E-07,1.32E-05
29B,2016-07-21,Auk11,29,B,upstream,39.63659159,1.34263882,1.55E-05,6.73E-06,3,NA,0,0,0,0,2016-07-21,20.86,6.36,1.574148065,17.016375,2.07E-07,1.42E-05
30B,2016-07-22,Auk4,30,B,upstream,31.7241745,0.190255867,4.25E-03,5.33E-04,3,NA,5,3,0,8,2016-07-22,20.98,7.8,2.32781258,16.838625,8.37E-05,0.003902857
31B,2016-07-23,Auk4,31,B,upstream,29.04816055,0.093920352,2.51E-02,1.57E-03,3,NA,286,233,3,522,2016-07-23,21.35,12.24,6.642055708,16.67654167,0.001411774,0.023484564
32B,2016-07-24,Auk4,32,B,upstream,28.8949604,0.087312209,2.78E-02,1.59E-03,3,NA,287,301,3,591,2016-07-24,21.9,18.84,23.14398456,15.63725,0.005446326,0.026670528
